Country,Country Code3,Sub-country,Sector,Month,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,
Aruba,ABW,-,total,0,0.234749,0.312771,0.469314,0.433954,0.363937,0.515209,0.425063,0.45541,0.428011,0.411668,0.394164,0.439842,0.398936,0.348551,0.368851,0.362458,0.365399,0.389788,0.416792,0.414738,1.023645,1.399349,1.393338,1.386885,1.579773,1.548765,1.517925,1.522842,1.533332,1.59466,1.712609,1.591893,0.702928,0.830722,0.844789,0.819005,0.832467,0.847973,0.785561,0.770957,0.728899,0.929253,1.029193,1.07581,1.100153,1.081094,1.082505,0.499631,0.516246,0.522913,0.496407,0.506932,0.532123,0.557952,0.57962,,,,,,
Afghanistan,AFG,-,total,0,1.624671,1.268243,1.103294,1.30451,1.637831,1.387175,1.296942,1.254134,1.231609,1.285342,1.274382,1.249526,1.194794,1.21699,1.370371,1.422567,1.454372,1.377464,1.273907,1.316905,1.499311,1.436621,1.332875,1.328151,1.363204,1.615899,1.796088,1.766144,1.866915,1.888172,2.012831,2.275674,2.533442,2.453098,2.732177,2.833489,3.032015,3.233888,3.010716,3.877516,4.61374,5.417523,4.951494,5.089422,5.565986,6.00796,6.031363,6.385292,6.803851,7.085856,7.532928,7.446115,6.949872,7.202288,7.444746,,,,,,
Angola,AGO,-,total,0,1.528077,2.083064,2.949385,2.87289,2.919796,2.52699,2.197869,1.770181,2.917278,2.876325,2.856721,2.734282,2.414,2.508799,2.526906,3.111677,3.072602,3.150554,4.06156,3.557335,4.201336,4.318901,4.204652,4.488402,4.437741,4.136009,4.46179,4.628008,4.073051,4.954411,4.84216,5.488335,6.003426,7.635863,8.340604,6.997018,9.023172,10.7203,12.89124,15.111829,15.270529,16.470039,19.104588,22.654119,24.620695,25.560108,22.680216,20.360655,20.307751,22.410952,16.883459,22.019166,23.420555,23.908161,24.183658,,,,,,
Anguilla,AIA,-,total,0,0.013585,0.015157,0.018882,0.021335,0.017954,0.022031,0.018385,0.021554,0.020356,0.018977,0.027271,0.025519,0.03473,0.030278,0.032187,0.031551,0.034519,0.050278,0.053159,0.05604,0.141731,0.055152,0.066589,0.066094,0.063712,0.064074,0.069046,0.069177,0.067162,0.107359,0.096256,0.136857,0.058964,0.07014,0.071333,0.075854,0.106486,0.108594,0.107461,0.105469,0.099361,0.130042,0.144131,0.150515,0.153833,0.150314,0.15052,0.064767,0.067078,0.071729,0.068209,0.069683,0.073056,0.076599,0.079572,,,,,,
Albania,ALB,-,total,0,3.678719,4.115097,4.72028,4.286806,4.49787,4.800371,5.178212,5.486631,6.132704,7.227038,7.444956,6.343464,6.61821,7.173647,7.744188,7.442863,7.458895,7.74286,7.61431,7.276169,6.099806,4.144897,2.253976,2.096098,2.09751,1.965923,1.982642,1.490965,1.811977,3.031634,3.176174,3.228387,3.901492,4.053693,4.268646,4.03779,3.993146,4.105978,4.132746,4.298643,4.440406,4.833973,4.47953,4.58358,4.801813,4.599283,4.337307,5.091441,5.01388,4.698967,4.305274,4.773484,4.219313,4.23434,4.265446,,,,,,
United Arab Emirates,ARE,-,total,0,4.177142,2.994406,3.142379,3.793214,3.993791,5.674949,7.208437,11.703828,13.79436,16.11878,21.224301,25.544843,28.175528,27.092467,36.012116,40.258498,43.99258,48.74446,50.11485,57.233623,56.981051,65.00754,62.351275,65.677968,72.865059,77.890576,81.444137,85.118252,88.260717,90.705569,89.043896,102.76966,104.930068,109.827772,117.059916,124.010931,129.391448,141.735781,168.703817,169.840158,175.498649,179.295886,186.121198,195.583289,199.379165,208.639409,212.617449,202.701173,183.858619,196.584549,194.712627,198.598949,193.715901,196.546334,208.067331,,,,,,
Argentina,ARG,-,total,0,76.795767,76.033373,78.001744,80.519433,81.076293,78.950542,82.493666,86.05837,85.017898,89.726857,88.167025,86.357619,85.181916,88.447005,87.893202,81.837681,88.628302,93.905173,97.78761,94.695578,87.764412,92.539149,94.855642,97.976449,100.33377,99.480744,109.359469,111.992786,118.415343,120.136672,118.432476,111.700728,104.255594,112.826588,124.872055,129.187464,137.690669,145.168451,149.475397,140.085319,149.395634,159.540861,160.527224,167.080898,163.872068,170.337958,169.32774,166.339067,157.126861,148.626727,135.396332,148.347723,159.646615,153.870259,148.376353,,,,,,
Armenia,ARM,-,total,0,9.165715,9.798422,10.4858,11.463087,12.454939,14.374516,14.859273,15.548676,16.24684,17.02876,18.356189,18.843967,19.075072,19.300951,19.432402,19.658966,19.923031,20.250711,20.398947,20.117469,18.984085,17.855796,8.465613,5.237263,2.893088,3.764012,2.775653,3.602693,3.74046,3.332283,3.822819,3.915587,3.340463,3.745925,4.001963,4.69126,4.694796,5.015595,5.427821,4.232551,3.879607,4.406539,5.142211,4.938462,4.795679,4.629633,4.403364,4.684753,4.860414,5.284781,6.050613,6.542005,6.865479,7.302437,7.3067,,,,,,
Antigua and Barbuda,ATG,-,total,0,0.108432,0.120423,0.150297,0.139197,0.11719,0.22351,0.184821,0.198028,0.217871,0.202188,0.194118,0.181763,0.165,0.144889,0.15499,0.144246,0.148234,0.157384,0.167547,0.275064,0.680048,0.451994,0.447391,0.44662,0.681616,0.666567,0.654848,0.770602,0.746094,0.778763,0.700507,0.652745,0.294041,0.34962,0.341295,0.334328,0.345953,0.353166,0.536718,0.526183,0.494588,0.751958,0.801367,0.787632,0.792653,0.778733,0.76554,0.348206,0.360542,0.365697,0.339379,0.346612,0.36433,0.381996,0.396823,,,,,,
Australia,AUS,-,total,0,140.034646,142.114747,146.965437,156.353361,169.779002,176.746647,179.885909,193.195337,192.106245,198.569663,208.033043,209.196964,215.494967,208.785019,216.282191,225.859617,229.238492,238.931205,247.047241,261.961358,267.926483,268.186277,272.611847,276.76548,280.660694,289.441812,305.742069,313.674476,329.083122,336.06881,341.673366,343.771042,352.530499,351.297649,364.683819,367.20085,372.59352,383.625366,386.948348,393.911188,386.804125,385.35952,386.279042,380.112789,371.386455,375.506357,382.884009,398.773919,398.454273,396.236432,380.862504,372.610265,366.353176,364.445593,366.959283,,,,,,
Austria,AUT,-,total,0,48.726993,51.306774,53.49311,56.933209,54.359534,52.444116,57.08232,54.374177,56.729764,58.853692,57.194701,54.327292,52.404461,51.976158,53.593526,55.188715,54.224697,54.968303,53.010784,53.306092,59.106513,63.576619,58.565791,58.782126,59.223271,62.123908,66.016741,65.14261,65.80236,64.109012,64.7144,68.827226,70.26883,75.421221,76.90104,77.422188,75.326777,72.132264,71.796635,65.508482,71.185701,69.410568,66.211105,66.73418,62.997452,64.438905,64.86552,67.177065,64.499324,65.860634,60.502707,63.57279,59.906924,57.149918,56.661153,,,,,,
Azerbaijan,AZE,-,total,0,25.133309,26.819863,28.687399,31.26146,33.901888,42.319986,43.833004,45.769988,47.796424,50.127142,53.400688,58.093373,60.180822,62.514248,64.727762,66.925999,69.398205,72.515251,74.920863,76.323684,56.903999,55.556655,44.633859,39.118807,34.937159,34.085315,28.222917,27.44652,27.347907,26.829286,28.352247,27.68543,27.486862,29.946077,29.812329,31.491135,32.319734,28.861073,31.18508,26.494832,25.4644,28.574071,31.37877,32.200848,33.785908,33.481018,33.985154,33.839045,34.623297,36.562527,35.243687,37.429423,40.049074,43.424658,40.601067,,,,,,
Burundi,BDI,-,total,0,0.314242,0.2852,0.280033,0.282998,0.294163,0.297833,0.286228,0.316173,0.335654,0.374805,0.376251,0.390225,0.306921,0.32066,0.303729,0.329298,0.33675,0.548068,0.505542,0.478734,0.479268,0.555078,0.594596,0.5527,0.514372,0.458284,0.434013,0.415542,0.415459,0.425988,0.401771,0.406672,0.405726,0.409907,0.402041,0.397802,0.430035,0.441894,0.455015,0.464154,0.448482,0.485738,0.495115,0.506437,0.508804,0.540939,0.486291,0.549705,0.593492,0.62385,0.651824,0.667674,0.700396,0.703633,0.714849,,,,,,
Belgium,BEL,-,total,0,124.923023,121.59282,131.851277,137.084869,137.422064,121.189525,129.139864,128.427249,134.708553,137.276753,130.231784,119.836884,112.259922,103.423475,105.287593,104.454808,104.521046,105.111302,107.027192,108.741519,109.780516,113.230136,111.816012,110.25393,114.291484,114.491871,118.710658,114.726238,117.100461,113.202264,115.035623,117.829068,112.244847,116.713602,114.512242,112.586051,109.331785,105.467037,107.065921,101.503255,108.270931,98.24121,96.941709,97.499426,90.784551,96.437568,94.917967,94.022226,95.048223,94.425744,86.70667,90.678427,83.996847,78.697133,79.04963,,,,,,
Benin,BEN,-,total,0,0.23059,0.302023,0.396323,0.405794,0.417396,0.458514,0.277541,0.331564,0.378384,0.378541,0.579405,0.493328,0.568667,0.559879,0.574105,0.667039,0.604328,0.555343,0.482614,0.441307,0.448968,0.405137,0.445678,0.532307,0.511104,0.589073,1.081084,1.228584,1.345057,1.439105,1.552715,1.835729,2.116065,2.374757,2.528913,2.742256,3.944308,4.490801,4.428588,4.752166,5.13048,5.055039,4.808405,5.05913,5.52899,5.783689,6.967738,7.114967,8.437571,8.203559,8.687447,6.661396,6.934238,6.778319,6.94302,,,,,,
"Bonaire, Sint Eustatius and Saba",BES,-,total,0,0.066134,0.064215,0.062538,0.065578,0.062907,0.042695,0.047099,0.044777,0.039241,0.070146,0.069818,0.061009,0.054331,0.049459,0.043181,0.045159,0.04475,0.044354,0.029846,0.031372,0.037397,0.037585,0.043731,0.043474,0.049672,0.051117,0.052723,0.007454,0.007742,0.008038,0.001338,0.001355,0.001374,0.001394,0.001413,0.001433,0.001456,0.00148,0.001487,0.001504,0.001522,0.001524,0.003795,0.003809,0.004104,0.00469,0.005282,0.005275,0.005836,0.005994,0.00547,0.005477,0.00552,0.005799,0.006029,,,,,,
Burkina Faso,BFA,-,total,0,0.141925,0.155733,0.17135,0.177401,0.174621,0.187188,0.199678,0.25261,0.351889,0.383934,0.395864,0.376585,0.373312,0.401561,0.386462,0.402201,0.399525,0.446011,0.427579,0.470859,0.495671,0.50504,0.51121,0.52368,0.536019,0.563747,0.629321,0.686636,0.752569,0.895368,0.940092,0.959086,0.95603,1.03423,1.045976,1.055924,1.22921,1.393816,1.720827,1.770046,2.326232,2.508106,2.966021,2.947297,2.934039,3.896178,4.247473,4.878688,5.492206,6.280074,5.911918,6.497384,6.674404,6.277671,6.40481,,,,,,
Bangladesh,BGD,-,total,0,2.876931,2.904396,2.886602,3.436316,3.95562,4.497263,4.763677,4.962477,5.375853,5.896842,6.806122,6.587015,7.119279,6.697605,6.656763,8.03473,8.896537,9.872086,10.25423,11.004847,11.968536,11.329909,12.361727,13.157607,14.199085,17.239091,17.630053,19.851666,20.298213,21.903149,23.196068,28.16916,29.900825,31.246944,33.072291,35.328341,38.703928,40.921103,47.009609,51.324894,57.657623,62.909415,67.492168,71.794012,76.020512,85.122406,92.329003,98.675981,104.270751,108.112682,101.877591,116.402502,120.965163,115.46414,120.654963,,,,,,
Bulgaria,BGR,-,total,0,69.253111,66.814533,68.837527,70.842126,71.935854,76.623723,76.657568,79.690105,82.697455,86.113711,88.985135,85.178722,86.995423,85.641454,83.831536,86.384078,87.631005,88.639751,87.657246,86.748928,74.631484,60.137735,56.162504,56.072352,53.907035,54.919076,55.055743,54.17228,50.184763,44.607666,43.474117,46.159404,43.76846,47.791883,47.182177,47.798481,49.131152,52.08542,49.935989,43.002272,44.685886,49.555259,44.866924,39.267381,42.0254,44.213011,41.04681,43.4102,40.397833,38.676284,33.64223,39.62929,43.703453,33.500843,30.238823,,,,,,
